"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.8786994108929e-187,0.258422111869436,1,1,4.57162714646679e-183,"0","RPL18"
1.20875586091404e-186,0.581261892700971,0.554,0.421,2.94138651194822e-182,"0","HMGB2"
1.96586806853029e-186,0.4779451387791,0.269,0.121,4.78374335796162e-182,"0","GZMA"
9.28067415666788e-186,0.541513952203817,0.619,0.622,2.25835924928356e-181,"0","UBE2D2"
9.33728611501066e-185,0.338259691317788,0.916,0.877,2.27213520322669e-180,"0","SSR2"
9.85452093436983e-185,0.519302377872507,0.289,0.158,2.39799912416956e-180,"0","RNF19A"
1.9394198958997e-184,0.278162343119869,1,0.999,4.71938437468233e-180,"0","RPL36"
3.24154227924719e-184,0.316132529558926,0.999,0.98,7.88796898232011e-180,"0","COX7C"
1.54494417073193e-182,0.363289922873712,0.936,0.843,3.75946714505908e-178,"0","HMGN1"
6.66734760445047e-182,0.362587497452327,1,0.96,1.62243236606698e-177,"0","CFL1"
1.69119512449993e-181,0.299758807557183,1,0.985,4.11535421595813e-177,"0","ATP5E"
1.33612830664074e-178,0.43386255253091,0.28,0.145,3.25133462137958e-174,"0","LPXN"
1.52568945842803e-178,0.374979033974915,0.803,0.721,3.71261272813878e-174,"0","PSME2"
2.40452025303328e-177,0.383328283797373,0.982,0.929,5.8511595837312e-173,"0","SUMO2"
2.48818254728328e-176,0.370574270951278,0.834,0.765,6.05474341055914e-172,"0","EIF3L"
1.04755892966453e-175,0.337465421031191,0.966,0.884,2.54912989944567e-171,"0","SNRPD2"
5.94908807287961e-174,0.530290983187214,0.329,0.189,1.44765109165453e-169,"0","PTGER4"
8.81361624264321e-174,0.522597652057895,0.331,0.203,2.1447053764848e-169,"0","SYNE2"
2.92099780505742e-173,0.763883558120136,0.407,0.297,7.10795605882672e-169,"0","RBPJ"
5.38190443634982e-173,0.399618325533551,0.902,0.841,1.30963262554136e-168,"0","PARK7"
5.71158336283289e-173,0.497281095599986,0.33,0.194,1.38985669551176e-168,"0","LINC-PINT"
8.16691883662958e-172,0.61264319541774,0.352,0.219,1.98733802970544e-167,"0","GBP2"
1.14677263584377e-170,0.49091210995591,0.308,0.179,2.79055653206222e-166,"0","CYLD"
1.39683145382725e-170,0.529165504517652,0.419,0.301,3.39904965974322e-166,"0","EPC1"
1.65421797154503e-170,0.550573558950444,0.587,0.555,4.02537401195769e-166,"0","ARF6"
1.57440459641368e-169,0.531900733196942,0.61,0.586,3.83115614491305e-165,"0","TMEM50A"
3.47681296454401e-168,0.326255137842983,0.986,0.903,8.4604766679214e-164,"0","EIF3E"
2.47421159747583e-167,0.434846126085538,0.308,0.164,6.02074650129768e-163,"0","LDLRAD4"
9.16540948916174e-167,0.520914210750081,0.254,0.136,2.23031074509262e-162,"0","FURIN"
6.7884925924932e-165,0.560322014553096,0.422,0.311,1.65191178745729e-160,"0","MBNL1"
4.53512531196926e-164,0.531563352920032,0.481,0.371,1.1035773934146e-159,"0","HLA-F"
4.1671688229792e-163,0.522753133773253,0.576,0.546,1.01403886138376e-158,"0","PRRC2C"
9.6369455329742e-162,0.576095145191643,0.495,0.424,2.34505432599394e-157,"0","PRPF38B"
2.5359518698184e-161,0.480115014301634,0.361,0.221,6.1709852800161e-157,"0","RILPL2"
1.0515979670154e-158,0.345391445439311,0.755,0.699,2.55895849293528e-154,"0","RNASET2"
5.34005362295982e-158,0.96577039052379,0.636,0.499,1.29944864861104e-153,"0","ANXA1"
1.00503918570429e-157,0.30247188466186,0.92,0.872,2.44566235449282e-153,"0","ATP6V1G1"
9.17057090486182e-157,0.361718055423426,0.962,0.889,2.23156672398907e-152,"0","MCL1"
5.41599448907946e-155,0.458364245299725,0.369,0.245,1.3179280989726e-150,"0","SNRPN"
1.14625325027466e-154,0.321437447656405,0.976,0.922,2.78929265921835e-150,"0","EIF3K"
4.53078209853553e-154,0.641780542050562,0.436,0.342,1.10252051585764e-149,"0","OSTF1"
1.55603673930409e-152,0.424505256850806,0.683,0.686,3.78645980142258e-148,"0","SUMO1"
3.35986296975413e-152,0.321552072142362,0.977,0.903,8.17589055059971e-148,"0","NDUFS5"
1.61316749403794e-148,0.358945904903142,0.737,0.732,3.92548177999192e-144,"0","EIF3G"
6.49177917954411e-147,0.477782244876823,0.683,0.695,1.57970954555026e-142,"0","PPP1CA"
